inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-3337;995;998;1000;281.892;180.418;349.392;207.418;5.17302;1.05176;4.66574;22.923;78;B
gen-3338;1000;1000;1000;62.027;36.56;62.027;36.56;3.69246;0.922405;3.17004;10.9147;998;B
gen-3339;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3340;1000;1000;1000;161.843;96.391;161.843;96.391;4.60459;1.14151;4.06431;17.6441;999;A
gen-3341;982;1000;1000;323.885;190.612;566.885;190.612;5.2813;1.1189;4.78216;23.8787;797;B
gen-3342;884;950;1000;591.571;401.849;2157.57;1076.85;5.9942;0.932845;5.53103;31.6203;792;B
gen-3343;500;760;1000;1080.12;809.249;7830.12;4049.25;6.77093;0.628339;6.38149;41.5782;8;B
gen-3344;1000;1000;1000;115.031;81.313;115.031;81.313;4.31234;0.953697;3.96769;16.662;999;A
gen-3345;1000;1000;1000;60.468;42.357;60.468;42.357;3.73332;0.76792;3.39035;12.2173;938;B
gen-3346;1000;1000;1000;115.526;82.883;115.526;82.883;4.26597;1.10427;3.91529;16.4212;993;B
gen-3347;967;1000;1000;454.336;231.926;899.836;231.926;5.76608;0.784125;5.11347;26.8297;1;B
gen-3348;1000;1000;1000;140.435;74.544;140.435;74.544;4.51634;0.956415;3.91125;16.1737;998;B
gen-3349;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3350;410;669;1000;1178.58;900.947;9143.58;5369.45;6.9115;0.486305;6.50039;43.16;7;B
gen-3351;999;999;1000;206.958;189.37;220.458;202.87;4.64925;1.551;4.52538;22.1438;992;A
gen-3352;294;611;1000;1292.48;1009.91;10823.5;6261.41;7.0807;0.239832;6.74167;45.9557;1;B
